split,analysis_scope,comparison,first_group,second_group,feature,sample_count_each,wasserstein_1,ks_statistic,standardized_mean_difference_first_minus_second
train,balanced_primary,synthetic_vs_natural,synthetic,natural,max_score,2341,0.2963854152791199,0.5724049551473729,-1.588177101189834
train,balanced_primary,synthetic_vs_natural,synthetic,natural,apce,2341,73.42449350328539,0.4340025630072618,-1.0806372003635412
train,balanced_primary,synthetic_vs_natural,synthetic,natural,score_entropy,2341,0.193758900996993,0.4489534387014097,1.2069526587204722
train,balanced_primary,synthetic_vs_natural,synthetic,natural,prompt_topk_score_mean,2341,0.019204446795288696,0.2357966680905596,-0.31488206773890814
train,balanced_primary,synthetic_vs_natural,synthetic,natural,prompt_top1_top8_gap,2341,0.3244460949762567,0.5348141819735156,-1.5053430037206614
train,balanced_primary,synthetic_vs_natural,synthetic,natural,prompt_norm_mean,2341,0.13129831531627317,0.4515164459632635,-1.1614662657385253
train,balanced_primary,synthetic_vs_natural,synthetic,natural,prompt_pairwise_cos_mean,2341,0.07992256171476225,0.36907304570696287,0.8180741837908976
train,balanced_primary,clean_vs_natural,clean,natural,max_score,2341,0.1860033801889277,0.3827424177701837,1.0468826098321014
train,balanced_primary,clean_vs_natural,clean,natural,apce,2341,60.978953870531335,0.36608287056813327,0.9376141651895645
train,balanced_primary,clean_vs_natural,clean,natural,score_entropy,2341,0.1688731866978214,0.3601025202904742,-0.808558219151593
train,balanced_primary,clean_vs_natural,clean,natural,prompt_topk_score_mean,2341,0.025451543079335077,0.25245621529261,-0.5345647852436114
train,balanced_primary,clean_vs_natural,clean,natural,prompt_top1_top8_gap,2341,0.22390182893635727,0.3797522426313541,1.038943290378226
train,balanced_primary,clean_vs_natural,clean,natural,prompt_norm_mean,2341,0.05248310198288909,0.2533105510465613,0.5848192055339037
train,balanced_primary,clean_vs_natural,clean,natural,prompt_pairwise_cos_mean,2341,0.027750603692341134,0.1452370781717215,-0.3705667804986858
train,balanced_primary,synthetic_vs_clean,synthetic,clean,max_score,2341,0.4823887954680476,0.8970525416488679,-3.4315139025632577
train,balanced_primary,synthetic_vs_clean,synthetic,clean,apce,2341,134.3636832310572,0.7881247330200769,-2.8605463820321226
train,balanced_primary,synthetic_vs_clean,synthetic,clean,score_entropy,2341,0.3624959204382542,0.7757368645877829,2.2776735947277467
train,balanced_primary,synthetic_vs_clean,synthetic,clean,prompt_topk_score_mean,2341,0.026597775558677303,0.24690303289192653,0.1249884267127403
train,balanced_primary,synthetic_vs_clean,synthetic,clean,prompt_top1_top8_gap,2341,0.548347923912614,0.8944895343870142,-3.5885354283300246
train,balanced_primary,synthetic_vs_clean,synthetic,clean,prompt_norm_mean,2341,0.1837771968523797,0.689876121315677,-1.9469682621712996
train,balanced_primary,synthetic_vs_clean,synthetic,clean,prompt_pairwise_cos_mean,2341,0.10744444036117123,0.5087569414780009,1.2135165026407797
val,balanced_primary,synthetic_vs_natural,synthetic,natural,max_score,599,0.21660453346068154,0.5258764607679465,-1.39099343590083
val,balanced_primary,synthetic_vs_natural,synthetic,natural,apce,599,57.30920421539842,0.3606010016694491,-0.9373636570005598
val,balanced_primary,synthetic_vs_natural,synthetic,natural,score_entropy,599,0.11749089838865405,0.4707846410684474,1.097761106554759
val,balanced_primary,synthetic_vs_natural,synthetic,natural,prompt_topk_score_mean,599,0.0313856980898643,0.26544240400667785,-0.6578375587511087
val,balanced_primary,synthetic_vs_natural,synthetic,natural,prompt_top1_top8_gap,599,0.23531150827821787,0.4657762938230384,-1.2420935406044242
val,balanced_primary,synthetic_vs_natural,synthetic,natural,prompt_norm_mean,599,0.10420874402996694,0.4223706176961603,-0.9147696123209528
val,balanced_primary,synthetic_vs_natural,synthetic,natural,prompt_pairwise_cos_mean,599,0.07120917610612656,0.3772954924874792,0.8602515207355377
val,balanced_primary,clean_vs_natural,clean,natural,max_score,599,0.235880470571912,0.6393989983305509,1.6564187940913928
val,balanced_primary,clean_vs_natural,clean,natural,apce,599,94.96515126777611,0.6243739565943238,1.654867592731133
val,balanced_primary,clean_vs_natural,clean,natural,score_entropy,599,0.17961060513240068,0.6928213689482471,-1.3640426150703093
val,balanced_primary,clean_vs_natural,clean,natural,prompt_topk_score_mean,599,0.043766438786891945,0.5158597662771286,-1.175501735085815
val,balanced_primary,clean_vs_natural,clean,natural,prompt_top1_top8_gap,599,0.3043077904762131,0.6427378964941569,1.6980939154748866
val,balanced_primary,clean_vs_natural,clean,natural,prompt_norm_mean,599,0.09354131408844249,0.4507512520868113,1.0315135023658486
val,balanced_primary,clean_vs_natural,clean,natural,prompt_pairwise_cos_mean,599,0.053031734860998166,0.3439065108514191,-0.7581160402255396
val,balanced_primary,synthetic_vs_clean,synthetic,clean,max_score,599,0.45248500403259356,0.9432387312186978,-4.013568137773922
val,balanced_primary,synthetic_vs_clean,synthetic,clean,apce,599,152.27435548317453,0.9048414023372288,-3.9763614977150845
val,balanced_primary,synthetic_vs_clean,synthetic,clean,score_entropy,599,0.29710150352105474,0.9532554257095158,2.9528049870948894
val,balanced_primary,synthetic_vs_clean,synthetic,clean,prompt_topk_score_mean,599,0.02254149206418028,0.29048414023372293,0.3099321529960116
val,balanced_primary,synthetic_vs_clean,synthetic,clean,prompt_top1_top8_gap,599,0.5396014451483057,0.9482470784641068,-4.396389080214456
val,balanced_primary,synthetic_vs_clean,synthetic,clean,prompt_norm_mean,599,0.1966065850998205,0.8130217028380634,-2.351148524949089
val,balanced_primary,synthetic_vs_clean,synthetic,clean,prompt_pairwise_cos_mean,599,0.12422621240201896,0.7128547579298832,1.7442558381295847
