sample_id,split,target_id,view,template_frame_id,search_frame_id,group,pair_id,balanced_primary,max_score,apce,score_map_max,score_map_mean,score_map_std,score_top1_top2_gap,score_entropy,pred_bbox_x,pred_bbox_y,pred_bbox_w,pred_bbox_h,prompt_valid,prompt_topk_score_mean,prompt_topk_score_std,prompt_topk_score_min,prompt_topk_score_max,prompt_top1_top8_gap,prompt_norm_mean,prompt_norm_std,prompt_pairwise_cos_mean,prompt_pairwise_cos_std,prompt_pairwise_cos_min,prompt_pairwise_cos_max
d2p1-train-md3005-1-000005-clean,train,md3005,A,4,5,clean,d2p1-train-md3005-A-00000,True,0.5948896408081055,125.73274993896484,0.5948896408081055,0.014052101410925388,0.05117648094892502,0.1319410502910614,0.7243396639823914,0.5015445351600647,0.4766806960105896,0.17905670404434204,0.3704303205013275,True,0.22729796171188354,0.18435969948768616,0.06448805332183838,0.5948896408081055,0.5304015874862671,12.483777046203613,0.16425420343875885,0.7075583338737488,0.12401939928531647,0.508126437664032,0.9005953669548035
d2p1-train-md3005-1-000005-synthetic,train,md3005,A,4,5,synthetic,d2p1-train-md3005-A-00000,True,0.37991148233413696,58.814727783203125,0.37991148233413696,0.017087016254663467,0.04652056470513344,0.010614544153213501,0.7895075082778931,0.719585120677948,0.17042116820812225,0.1763281673192978,0.3383093774318695,True,0.23528051376342773,0.12829041481018066,0.08508215099573135,0.37991148233413696,0.2948293387889862,12.546733856201172,0.1370001882314682,0.7539376020431519,0.10127988457679749,0.5733579397201538,0.9300354719161987
d2p1-train-md3005-1-000015-clean,train,md3005,A,14,15,clean,d2p1-train-md3005-A-00001,True,0.5525527000427246,95.18504333496094,0.5525527000427246,0.017531152814626694,0.053875528275966644,0.14420178532600403,0.7450323700904846,0.49102917313575745,0.5021408796310425,0.1777646243572235,0.41338050365448,True,0.2752898037433624,0.13522565364837646,0.1252906769514084,0.5525527000427246,0.42726200819015503,12.484552383422852,0.1351180374622345,0.7246401906013489,0.1453365534543991,0.33787980675697327,0.9151772260665894
d2p1-train-md3005-1-000015-synthetic,train,md3005,A,14,15,synthetic,d2p1-train-md3005-A-00001,True,0.24595791101455688,34.728912353515625,0.24595791101455688,0.02356191724538803,0.0344969742000103,0.061277732253074646,0.8742560744285583,0.6099909543991089,0.24546727538108826,0.17214660346508026,0.2757643759250641,True,0.16841766238212585,0.033996544778347015,0.12919512391090393,0.24595791101455688,0.11676278710365295,12.45020866394043,0.055691856890916824,0.8668668270111084,0.028274694457650185,0.8030418157577515,0.9426948428153992
d2p1-train-md3005-1-000024-clean,train,md3005,A,23,24,clean,d2p1-train-md3005-A-00002,True,0.6643598675727844,150.2141571044922,0.6643598675727844,0.01324988529086113,0.052578359842300415,0.3364519476890564,0.6948116421699524,0.5076181888580322,0.5045929551124573,0.1686173975467682,0.40100371837615967,True,0.24401156604290009,0.17843212187290192,0.07973597198724747,0.6643598675727844,0.5846238732337952,12.534581184387207,0.11004593223333359,0.7904648184776306,0.07415494322776794,0.6311219334602356,0.9264833331108093
d2p1-train-md3005-1-000024-synthetic,train,md3005,A,23,24,synthetic,d2p1-train-md3005-A-00002,True,0.41084256768226624,87.46515655517578,0.41084256768226624,0.019388116896152496,0.039456747472286224,0.130501389503479,0.8355385065078735,0.5219812989234924,0.705188512802124,0.17518016695976257,0.2507953941822052,True,0.1926935315132141,0.10013085603713989,0.11189387738704681,0.41084256768226624,0.2989487051963806,12.466053009033203,0.17318518459796906,0.7000049948692322,0.15125633776187897,0.3498895764350891,0.9081430435180664
d2p1-train-md3005-1-000034-clean,train,md3005,A,33,34,clean,d2p1-train-md3005-A-00003,True,0.6723065376281738,153.15927124023438,0.6723065376281738,0.01249864511191845,0.05288228765130043,0.3688212037086487,0.6685560345649719,0.4893440008163452,0.5021200776100159,0.1821034550666809,0.38862815499305725,True,0.24264299869537354,0.18230600655078888,0.06153002008795738,0.6723065376281738,0.6107765436172485,12.571370124816895,0.0878995805978775,0.7323336005210876,0.1202453076839447,0.4063045382499695,0.9024015069007874
d2p1-train-md3005-1-000034-synthetic,train,md3005,A,33,34,synthetic,d2p1-train-md3005-A-00003,True,0.5473373532295227,91.90715026855469,0.5473373532295227,0.023970291018486023,0.0518515445291996,0.20198825001716614,0.8216060996055603,0.4850201904773712,0.696599543094635,0.1623275727033615,0.20466017723083496,True,0.2547931969165802,0.13284234702587128,0.1313534677028656,0.5473373532295227,0.4159838855266571,12.47847843170166,0.196889266371727,0.6784319281578064,0.1505076289176941,0.3444959819316864,0.9081990718841553
d2p1-train-md3005-1-000043-clean,train,md3005,A,42,43,clean,d2p1-train-md3005-A-00004,True,0.6255886554718018,133.23196411132812,0.6255886554718018,0.013435161672532558,0.05252300575375557,0.24138391017913818,0.6999190449714661,0.4851762354373932,0.4816202223300934,0.20420393347740173,0.3867394030094147,True,0.24356767535209656,0.1793266236782074,0.0643358826637268,0.6255886554718018,0.561252772808075,12.524148941040039,0.10065752267837524,0.7316412329673767,0.10978753119707108,0.5373072028160095,0.9266418218612671
d2p1-train-md3005-1-000043-synthetic,train,md3005,A,42,43,synthetic,d2p1-train-md3005-A-00004,True,0.34115085005760193,49.54476547241211,0.34115085005760193,0.02179686352610588,0.043323490768671036,0.027240335941314697,0.8298535943031311,0.6337180733680725,0.49958527088165283,0.17099155485630035,0.3333289623260498,True,0.22582781314849854,0.06432561576366425,0.1638839691877365,0.34115085005760193,0.17726688086986542,12.47960090637207,0.20346593856811523,0.692489504814148,0.1556476354598999,0.4226919114589691,0.9585376381874084
d2p1-train-md3005-1-000053-clean,train,md3005,A,52,53,clean,d2p1-train-md3005-A-00005,True,0.7255739569664001,187.1080322265625,0.7255739569664001,0.010877005755901337,0.0519300140440464,0.4366828501224518,0.6537252068519592,0.49464884400367737,0.4912744164466858,0.19513390958309174,0.3431755006313324,True,0.21451246738433838,0.20656099915504456,0.056574903428554535,0.7255739569664001,0.6689990758895874,12.603483200073242,0.06030667945742607,0.708124577999115,0.13302241265773773,0.4191974699497223,0.9165178537368774
d2p1-train-md3005-1-000053-synthetic,train,md3005,A,52,53,synthetic,d2p1-train-md3005-A-00005,True,0.510983407497406,145.84085083007812,0.510983407497406,0.012083174660801888,0.04057127237319946,0.2293352484703064,0.7524100542068481,0.4501470923423767,0.7323215007781982,0.17793874442577362,0.24721989035606384,True,0.18090245127677917,0.14671429991722107,0.04788722097873688,0.510983407497406,0.4630962014198303,12.537708282470703,0.10994565486907959,0.6405466198921204,0.13569356501102448,0.2941409647464752,0.8718008995056152
d2p1-train-md3005-1-000062-clean,train,md3005,A,61,62,clean,d2p1-train-md3005-A-00006,True,0.6577413082122803,160.1773681640625,0.6577413082122803,0.011361640878021717,0.05072718858718872,0.25967273116111755,0.6649364233016968,0.4976258873939514,0.4818146228790283,0.18032225966453552,0.3782500922679901,True,0.21600231528282166,0.1945713609457016,0.04341305047273636,0.6577413082122803,0.6143282651901245,12.523866653442383,0.10045342892408371,0.7599106431007385,0.09601207822561264,0.5922601819038391,0.9396646022796631
d2p1-train-md3005-1-000062-synthetic,train,md3005,A,61,62,synthetic,d2p1-train-md3005-A-00006,True,0.5301414132118225,122.48554992675781,0.5301414132118225,0.013814637437462807,0.04588669165968895,0.13131535053253174,0.7359300851821899,0.4571462571620941,0.7367609143257141,0.170806884765625,0.2694654166698456,True,0.2092342972755432,0.15487734973430634,0.08717973530292511,0.5301414132118225,0.4429616928100586,12.538862228393555,0.13451294600963593,0.6623997688293457,0.14317557215690613,0.3550303876399994,0.9021167755126953
d2p1-train-md3005-1-000071-clean,train,md3005,A,70,71,clean,d2p1-train-md3005-A-00007,True,0.7192103862762451,193.575927734375,0.7192103862762451,0.009703624993562698,0.05078548565506935,0.43602535128593445,0.6233040690422058,0.49494272470474243,0.510931670665741,0.19138003885746002,0.3238384425640106,True,0.20275381207466125,0.20873652398586273,0.038068436086177826,0.7192103862762451,0.6811419725418091,12.586864471435547,0.12307377904653549,0.7033312916755676,0.12444709241390228,0.5298799276351929,0.9266467690467834
