split,analysis_scope,group,feature,sample_count,finite_count,mean,std,median,p10,p25,p75,p90
train,balanced_primary,clean,max_score,2341,2341,0.8431108585029319,0.12843484330494656,0.8772521615028381,0.6587415337562561,0.7391275763511658,0.9599759578704834,0.9799683094024658
train,balanced_primary,clean,apce,2341,2341,222.99047715172,42.70418819757582,246.6876220703125,158.43807983398438,198.24851989746094,255.6025390625,255.9491424560547
train,balanced_primary,clean,score_map_mean,2341,2341,0.007310118556256569,0.0033134351221792238,0.006039670668542385,0.004212729167193174,0.00456519890576601,0.009540040045976639,0.011834526434540749
train,balanced_primary,clean,score_map_std,2341,2341,0.055936883355258926,0.003966632065226859,0.055662937462329865,0.05111364275217056,0.0521758571267128,0.05987867712974548,0.06110956892371178
train,balanced_primary,clean,score_top1_top2_gap,2341,2341,0.6925384402590367,0.2639944322675847,0.7601728737354279,0.30715715885162354,0.4778568744659424,0.9371439423412085,0.9714431404136121
train,balanced_primary,clean,score_entropy,2341,2341,0.41545994004687403,0.20783812912583724,0.4198051691055298,0.13177116215229034,0.2234978973865509,0.6128478050231934,0.675499677658081
train,balanced_primary,clean,prompt_topk_score_mean,2341,2341,0.16739011489711017,0.04058200511583773,0.15428009629249573,0.12609459459781647,0.13023865222930908,0.20039820671081543,0.2247951328754425
train,balanced_primary,clean,prompt_topk_score_std,2341,2341,0.2634482663769286,0.05337795783233181,0.2753438353538513,0.18953482806682587,0.216836616396904,0.31368133425712585,0.32261043787002563
train,balanced_primary,clean,prompt_topk_score_min,2341,2341,0.024085270024955214,0.027097313740397935,0.013086263090372086,0.001698072999715805,0.0034316303208470345,0.03724675625562668,0.058488182723522186
train,balanced_primary,clean,prompt_topk_score_max,2341,2341,0.8431108585029319,0.12843484330494656,0.8772521615028381,0.6587415337562561,0.7391275763511658,0.9599759578704834,0.9799683094024658
train,balanced_primary,clean,prompt_top1_top8_gap,2341,2341,0.8190255886288292,0.15274395985995357,0.8641180396080017,0.6010737419128418,0.69916170835495,0.956545352935791,0.9781470894813538
train,balanced_primary,clean,prompt_norm_mean,2341,2341,12.56763810594079,0.06466166295082754,12.567008972167969,12.490058898925781,12.52991008758545,12.610109329223633,12.65323257446289
train,balanced_primary,clean,prompt_norm_std,2341,2341,0.1345138495588267,0.05714892214771504,0.12754221260547638,0.06798487901687622,0.08997005224227905,0.16647998988628387,0.21404679119586945
train,balanced_primary,clean,prompt_pairwise_cos_mean,2341,2341,0.6652237297835792,0.05984372588820539,0.6680614352226257,0.5845637321472168,0.6196749806404114,0.7085050940513611,0.7402583360671997
train,balanced_primary,clean,prompt_pairwise_cos_std,2341,2341,0.14842709601371015,0.03371373667254814,0.14588287472724915,0.10863328725099564,0.1236439049243927,0.16813285648822784,0.1962696611881256
