split,view,group,raw_sample_count,balanced_sample_count,balanced_max_score_mean,balanced_apce_mean,balanced_score_entropy_mean,balanced_prompt_topk_score_mean_mean,balanced_prompt_top1_top8_gap_mean,balanced_prompt_norm_mean_mean,balanced_prompt_pairwise_cos_mean_mean
train,A,clean,652,652,0.8646990254155698,227.25664626747553,0.3675017853273205,0.16149645758095693,0.8440291551998788,12.545782030725771,0.676746358992132
train,A,synthetic,652,652,0.35496089763030914,96.39457273995218,0.7641012536053278,0.16573176784955101,0.2711238270965433,12.38301282718869,0.7710291433370918
train,A,natural,1364,652,0.7033950963223273,179.26706207895572,0.5273130852271991,0.18284292715641617,0.6516984254464598,12.529626458700449,0.6923533895172955
train,B,clean,1011,1011,0.8703245272976001,227.5305739307498,0.35918218356536,0.15883739946297676,0.8495664164998765,12.587228644849285,0.642125737891117
train,B,synthetic,1011,1011,0.3519535925475149,91.63243668062869,0.7733922001751901,0.16594238270858983,0.2670021296113096,12.360290960317549,0.7783082631056434
train,B,natural,1904,1011,0.6832075045323396,171.81195287251685,0.539239266196415,0.18597540466444665,0.6263083679754468,12.528080100711328,0.6749409497609596
train,C,clean,678,678,0.7817708821335373,212.11794012064075,0.5454975929671684,0.18581114715970723,0.7494398919002848,12.559443601816453,0.688585552142433
train,C,synthetic,678,678,0.3793374074397713,76.67502899366846,0.7980842738464519,0.1942475217842335,0.27572938760572213,12.419822808212235,0.7623181777366143
train,C,natural,1325,678,0.5736758360600753,130.80378638889235,0.7064082891100627,0.21157582378932507,0.4942176814539946,12.481979810382764,0.7179191791202466
val,A,clean,468,468,0.7793853643995065,212.54368169083554,0.5713614690252858,0.18440500331612733,0.7494490729947375,12.598480795183752,0.6661035389217556
val,A,synthetic,468,468,0.34456572705545485,57.8216849504373,0.8362057824165393,0.196538117618706,0.2221487713738894,12.401997761848646,0.7826438435377219
val,A,natural,468,468,0.5266927287905899,106.32373490496579,0.7477647317653029,0.22969435817665523,0.41877946802056754,12.490215996391752,0.7219616462532271
val,B,clean,41,41,0.7218446135520935,195.96995414175638,0.5872971728080656,0.19278192229387237,0.6876776378329207,12.52341961279148,0.6861379713546939
val,B,synthetic,41,41,0.3005295215946872,52.81611828687714,0.8172950323035078,0.1768802806008153,0.19501271516811558,12.42963239623279,0.8123123209650923
val,B,natural,41,41,0.49396046123853543,84.51197852157965,0.7681193468047351,0.25065294053496384,0.3801976805779992,12.41780634624202,0.748080461490445
val,C,clean,90,90,0.9435219274626838,254.44605831570095,0.2739524722099304,0.13234757516119217,0.9374420815043979,12.620416355133056,0.5815702120463053
val,C,synthetic,90,90,0.3849773900376426,110.74453398386638,0.7693608022398419,0.15843308766682943,0.3124924964374966,12.37633891635471,0.7448756602075365
val,C,natural,90,90,0.7914219478766124,225.5192415025499,0.4696893208556705,0.1613023489713669,0.7716608246167501,12.60893660651313,0.6157476388745837
