split,target_id,group,raw_sample_count,balanced_sample_count,balanced_max_score_mean,balanced_apce_mean,balanced_score_entropy_mean,balanced_prompt_topk_score_mean_mean,balanced_prompt_top1_top8_gap_mean,balanced_prompt_norm_mean_mean,balanced_prompt_pairwise_cos_mean_mean
train,md3005,clean,420,420,0.6891442453577405,171.3362519763765,0.654079950210594,0.21807552256754467,0.6341802261414982,12.557520714260283,0.7019444976534163
train,md3005,synthetic,420,420,0.43167817910157497,95.48185970896766,0.7595775296290715,0.20067695793474005,0.3437547048864265,12.468808426175798,0.7262252041271755
train,md3005,natural,420,420,0.5155151435307094,89.9156202906654,0.7430549214283625,0.2609334884654908,0.3906352231190318,12.504520359493437,0.7332389919530777
train,md3008,clean,0,0,nan,nan,nan,nan,nan,nan,nan
train,md3008,synthetic,0,0,nan,nan,nan,nan,nan,nan,nan
train,md3008,natural,1234,0,nan,nan,nan,nan,nan,nan,nan
train,md3017,clean,10,10,0.8464782416820527,235.5906967163086,0.5320152819156647,0.16822730600833893,0.8272541046142579,12.634972381591798,0.586699903011322
train,md3017,synthetic,10,10,0.38800776898860934,44.84573841094971,0.8694218695163727,0.23317349553108216,0.23212493509054183,12.272283935546875,0.8652406156063079
train,md3017,natural,10,10,0.6171704918146134,141.26264610290528,0.6971776604652404,0.22073945701122283,0.5291895687580108,12.4653169631958,0.7047563523054123
train,md3018,clean,5,5,0.772237765789032,211.97252502441407,0.5138960003852844,0.18706948757171632,0.74846351146698,12.548781585693359,0.7020625472068787
train,md3018,synthetic,5,5,0.4285233080387115,74.7200798034668,0.747777271270752,0.23938624560832977,0.28544433414936066,12.409505653381348,0.7905256152153015
train,md3018,natural,5,5,0.6455840945243836,139.69593505859376,0.6909169435501099,0.2515306740999222,0.5530825555324554,12.585464477539062,0.6597146272659302
train,md3019,clean,8,8,0.808815136551857,222.81825256347656,0.5740838944911957,0.1835640538483858,0.7790672481060028,12.624698400497437,0.6257887184619904
train,md3019,synthetic,8,8,0.34292635694146156,37.58588886260986,0.8630050867795944,0.23785714246332645,0.18720543757081032,12.261642098426819,0.8925959318876266
train,md3019,natural,8,8,0.6874425113201141,173.886474609375,0.6480907201766968,0.208968847990036,0.641959972679615,12.577231884002686,0.6538771465420723
train,md3020,clean,59,59,0.9387916215395523,254.54895097118313,0.28589177813570377,0.13408901353003616,0.9330646153223716,12.639863482976365,0.5945566710779222
train,md3020,synthetic,59,59,0.39170671582727107,87.64444108736717,0.8171280551764925,0.17934328949047348,0.30080159961924713,12.294219130176609,0.8215972781181335
train,md3020,natural,59,59,0.8296503929768578,236.67945810091697,0.43051362744832444,0.15368294766393759,0.8145860686140546,12.61708023588536,0.5902825159541631
train,md3026,clean,172,172,0.9701718431572581,255.46530896563863,0.1514601316736188,0.12852831990566366,0.9674570834220841,12.57478774980057,0.6609723159047061
train,md3026,synthetic,172,172,0.3117483493352179,137.14095283109089,0.7041011833867361,0.10454660439647215,0.27016925137641645,12.27892869017845,0.8407426583905553
train,md3026,natural,172,172,0.8684971987508064,241.7681037991546,0.2772683826556733,0.13917353762270407,0.8584839569967847,12.584808238717013,0.6757151148346967
train,md3030,clean,152,152,0.7771110593488342,206.6412908654464,0.5437724613829663,0.1844867253185887,0.74350617727951,12.527424297834697,0.6905693454962027
train,md3030,synthetic,152,152,0.3517156522721052,65.08107704865306,0.8161209213890528,0.19161755366152838,0.24460208415985107,12.371999232392563,0.8057371758316693
train,md3030,natural,152,152,0.44401475620505054,78.84806815574044,0.8057018598835719,0.22132022737672455,0.3288661926788719,12.412751818958082,0.774553792257058
train,md3031,clean,232,232,0.9215740723342731,246.56052622301826,0.2912346529613795,0.1440871975802142,0.9113771861483311,12.582523160967334,0.6108017209275015
